cluster_id,conversation_count,percentage,top_terms,median_turns,avg_customer_turns,avg_company_turns,proposed_intent_name,merge_with_cluster,keep_as_separate_intent,notes
4,21970,23.31,"help, link, don, app, phone, option, ve, account, return, doesn, dm, need, want, sent, tried",1.0,1.36,1.36,,,,
18,5981,6.35,"issue, team, mail, seller, response, product, check, reply, problem, support, time, ur, refund, days, don",2.0,3.4,3.4,,,,
7,5961,6.32,"je, le, est, pas, et, ai, la, vous, en, que, il, pour, mais, ich, ne",2.0,2.43,2.43,,,,
19,5614,5.96,"order, cancelled, placed, number, card, amazon, cancel, refund, order number, cancel order, time, delivered, account, item, don",2.0,2.08,2.08,,,,
17,5312,5.64,"delivery, day, today, day delivery, carrier, delivered, yesterday, just, says, time, order, package, amazon, said, attempted",2.0,2.1,2.1,,,,
16,5068,5.38,"just, like, form, filled, don, know, want, ve, guys, time, filled form, got, amazon, help, looks",1.0,1.9,1.9,,,,
9,4920,5.22,"amazon, amazon logistics, logistics, sold, account, pay, sold amazon, amazon pay, amazon amazon, don, shipping, amazon shipping, time, product, want",1.0,1.7,1.7,,,,
15,4876,5.17,"today, says, delivered, package, supposed, delivered today, ordered, said, shipped, yesterday, arrive, tomorrow, day, tracking, arriving",1.0,1.82,1.82,,,,
6,4569,4.85,"email, received, haven, hours, account, update, days, sent, haven received, waiting, got, 24, received email, ve, reply",2.0,2.89,2.89,,,,
1,4145,4.4,"prime, delivery, date, delivery date, day, membership, amazon prime, prime membership, amazon, shipping, member, ordered, prime member, days, order",1.0,1.86,1.86,,,,
0,3603,3.82,"details, care, customer care, customer, shared, ur, link, shared details, want, product, amazon, time, provided, order, don",2.0,3.79,3.79,,,,
12,3569,3.79,"el, que, en, la, lo, es, pero, si, se, mi, ya, por, para, una, pedido",2.0,1.88,1.88,,,,
14,3201,3.4,"service, customer service, customer, amazon, ve, order, told, just, help, email, time, called, don, days, delivery",2.0,2.4,2.4,,,,
10,2886,3.06,"yes, yes did, did, time, amazon, just, account, ve, email, today, days, order, item, got, tried",1.0,1.75,1.75,,,,
3,2798,2.97,"thanks, thanks help, reply, help, quick, ok thanks, thanks quick, just, ok, response, thanks reply, got, ll, amazon, sorted",1.0,1.4,1.4,,,,
5,2578,2.73,"did, ve, didn, time, just, work, order, amazon, got, said, address, refund, today, don, told",2.0,2.17,2.17,,,,
8,2373,2.52,"que, por, gracias, lo, por amazon, es, eu, la, ya, para, mas, se, vendido, amazon, os",1.0,1.74,1.74,,,,
13,2280,2.42,"times, time, multiple, multiple times, ve, called, amazon, different, tried, issue, happened, just, contacted, yes, order",2.0,2.57,2.57,,,,
2,1734,1.84,"thank, ok thank, ok, response, just, help, quick, thank help, amazon, thank quick, sent, reply, okay thank, ll, thank reply",1.0,1.47,1.47,,,,
11,825,0.88,"yeah, just, office, ve, amazon, today, email, yeah ve, order, delivery, tried, got, time, know, post office",2.0,1.95,1.95,,,,
