threshold,predicted_escalations,accuracy,precision,recall,f1
0.2,200,0.42,0.42,1.0,0.5915492957746479
0.25,192,0.46,0.4375,1.0,0.6086956521739131
0.3,160,0.58,0.5,0.9523809523809523,0.6557377049180327
0.35,115,0.715,0.6173913043478261,0.8452380952380952,0.7135678391959799
0.4,94,0.72,0.648936170212766,0.7261904761904762,0.6853932584269663
0.45,91,0.725,0.6593406593406593,0.7142857142857143,0.6857142857142857
0.5,89,0.735,0.6741573033707865,0.7142857142857143,0.6936416184971098
0.55,78,0.71,0.6666666666666666,0.6190476190476191,0.6419753086419753
0.6,65,0.685,0.6615384615384615,0.5119047619047619,0.5771812080536913
0.65,46,0.71,0.782608695652174,0.42857142857142855,0.5538461538461539
0.7,29,0.685,0.8620689655172413,0.2976190476190476,0.4424778761061947
0.75,16,0.64,0.875,0.16666666666666666,0.28
0.8,12,0.63,0.9166666666666666,0.13095238095238096,0.22916666666666666
