threshold,predicted_escalations,accuracy,precision,recall,f1
1,89,0.605,0.5280898876404494,0.5595238095238095,0.5433526011560693
2,89,0.605,0.5280898876404494,0.5595238095238095,0.5433526011560693
3,89,0.605,0.5280898876404494,0.5595238095238095,0.5433526011560693
4,59,0.645,0.6101694915254238,0.42857142857142855,0.5034965034965035
5,59,0.645,0.6101694915254238,0.42857142857142855,0.5034965034965035
6,17,0.645,0.8823529411764706,0.17857142857142858,0.297029702970297
7,16,0.65,0.9375,0.17857142857142858,0.3
8,14,0.64,0.9285714285714286,0.15476190476190477,0.2653061224489796
9,13,0.635,0.9230769230769231,0.14285714285714285,0.24742268041237114
10,11,0.635,1.0,0.13095238095238096,0.23157894736842105
